Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6EMynpZ10GVcwVqiLZj6Ye,"2DaxqgrOhkeH0fpeiQq2f4","Champagne Supernova","(What's The Story) Morning Glory?","Oasis",1995-10-02,450506,60,spotify:user:ventedcups,2022-09-20T03:46:33Z,"beatlesque,britpop,madchester,permanent wave,pop rock,rock",0.303,0.853,2,-2.26,1,0.0366,0.223,0.00159,0.361,0.119,150.381,4
12dU3vAh6AFoJkisorfoUl,"2DaxqgrOhkeH0fpeiQq2f4","Don't Look Back In Anger - Remastered","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","Oasis",1995,289560,71,spotify:user:ventedcups,2022-09-20T03:46:38Z,"beatlesque,britpop,madchester,permanent wave,pop rock,rock",0.328,0.936,0,-3.254,1,0.0628,0.0665,0.00000261,0.165,0.31,162.97,4
0fea68AdmYNygeTGI4RC18,"1vyhD5VmyZ7KMfW5gqLgo5,4q3ewBCX7sLwd24euuV69X","LA CANCIÓN","OASIS","J Balvin,Bad Bunny",2019-06-28,242573,88,spotify:user:ng6zagkgwtqnbtsv7bbjx9gf3,2022-09-20T03:48:12Z,"reggaeton,reggaeton colombiano,trap latino",0.754,0.646,7,-5.795,1,0.317,0.152,0.0000185,0.108,0.429,176.089,4
4gzsuuZypVbxs0Af1LSZyB,"0GM7qgcRCORpGnfcN2tCiB,4q3ewBCX7sLwd24euuV69X,2QWIScpFDNxmS6ZEMIUvgm","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Tainy,Bad Bunny,Julieta Venegas",2021-10-05,207301,85,spotify:user:ng6zagkgwtqnbtsv7bbjx9gf3,2022-09-20T03:48:18Z,"latin hip hop,latin pop,pop reggaeton,reggaeton,reggaeton flow,trap latino,latin alternative,latin rock,rock en espanol",0.639,0.703,4,-6.33,0,0.0794,0.0889,0.00000178,0.0865,0.138,169.888,4
47Bg6IrMed1GPbxRgwH2aC,"7pbDxGE6nQSZVfiFdq9lOL","Best Friend","Best Friend","Rex Orange County",2017-01-25,262231,63,spotify:user:ng6zagkgwtqnbtsv7bbjx9gf3,2022-09-20T03:48:48Z,"bedroom pop,pop",0.575,0.714,6,-5.247,1,0.0596,0.395,0,0.115,0.32,144.982,4
5GUYJTQap5F3RDQiCOJhrS,"2h93pZq0e7k5yf4dywlkpM","Self Control","Blonde","Frank Ocean",2016-08-20,249667,75,spotify:user:ng6zagkgwtqnbtsv7bbjx9gf3,2022-09-20T03:49:10Z,"hip hop,lgbtq+ hip hop,neo soul,pop",0.581,0.21,8,-10.426,1,0.0321,0.768,0,0.369,0.452,80.099,4
2LBqCSwhJGcFQeTHMVGwy3,"1Xyo4u8uXC1ZmMpatF05PJ","Die For You","Starboy","The Weeknd",2016-11-24,260253,87,spotify:user:ng6zagkgwtqnbtsv7bbjx9gf3,2022-09-20T03:49:23Z,"canadian contemporary r&b,canadian pop,pop",0.586,0.525,1,-7.163,0,0.0615,0.111,0,0.134,0.508,133.629,4
4QhWbupniDd44EDtnh2bFJ,"2h93pZq0e7k5yf4dywlkpM","Pyramids","channel ORANGE","Frank Ocean",2012-07-10,592920,72,spotify:user:juandiego1337,2022-09-20T03:49:42Z,"hip hop,lgbtq+ hip hop,neo soul,pop",0.4,0.65,5,-6.104,0,0.0466,0.0118,0.0000762,0.791,0.15,107.989,4
6GzApXoBQiiAjak3tOQfV3,"5Rl15oVamLq7FbSb0NNBNy,0ZED1XzwlLHW4ZaG4lOT6m","Lie To Me (feat. Julia Michaels)","Lie To Me (feat. Julia Michaels)","5 Seconds of Summer,Julia Michaels",2018-12-21,149877,69,spotify:user:wo4fr8q9ihyz79h9m4forhc0q,2022-09-20T03:49:47Z,"boy band,dance pop,pop,post-teen pop,alt z,electropop",0.611,0.52,0,-5.445,1,0.0346,0.0132,0,0.105,0.771,159.927,4
5WNYg3usc6H8N3MBEp4zVk,"4V8LLVI7PbaPR0K2TGSxFF,7pbDxGE6nQSZVfiFdq9lOL,1mSJCvDX0W7Dn7S9C6vmvI","Boredom (feat. Rex Orange County & Anna of the North)","Flower Boy","Tyler, The Creator,Rex Orange County,Anna of the North",2017-07-21,320720,70,spotify:user:wo4fr8q9ihyz79h9m4forhc0q,2022-09-20T03:50:15Z,"hip hop,rap,bedroom pop,pop,electropop,indie poptimism,norwegian pop,vapor pop",0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,4
2tlJ22iQwiO1CWBQSma23n,"0kX41bvrBQtgqSEXbmTzMN","Car Crash","Car Crash","eaJ",2022-04-08,187106,62,spotify:user:znxas3h0zzvow6z221s02ch2d,2022-09-20T03:51:34Z,"",0.681,0.679,0,-6.699,1,0.0414,0.0063,0.000109,0.136,0.262,124.966,4
4k6Uh1HXdhtusDW5y8Gbvy,"57vWImR43h4CaDao012Ofp","Bad Habit","Gemini Rights","Steve Lacy",2022-07-15,232066,88,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-20T03:51:50Z,"afrofuturism",0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,4
1Xtz05nIgJiEYdncfd1w8h,"1hcdI2N1023RvSwLzTtdsp,1ldFRYgmjxDrX27bIe3dWx","Soledad y el Mar (feat. Los Macorinos)","Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)","Natalia Lafourcade,Los Macorinos",2017-05-05,214546,68,spotify:user:22q6gbff7oudw75n7ku7m776y,2022-09-20T03:51:57Z,"latin alternative,latin pop,mexican pop,rock en espanol,veracruz indie",0.726,0.177,1,-14.824,0,0.0353,0.896,0.00000214,0.116,0.618,92.934,4
1hUPOCqOukEl03lOs16DtN,"5Rl15oVamLq7FbSb0NNBNy","Lover Of Mine","CALM","5 Seconds of Summer",2020-03-27,206973,63,spotify:user:22q6gbff7oudw75n7ku7m776y,2022-09-20T03:52:17Z,"boy band,dance pop,pop,post-teen pop",0.545,0.858,11,-2.536,0,0.0406,0.194,0,0.151,0.323,94.041,3
7F1lXZIzokjKPBpT3pHdy6,"0dUYLC7DLjeS8gIh8cz2Pq","Baby Powder","Division (Deluxe)","Jenevieve",2022-04-29,176760,28,spotify:user:rfe7lnsuw25yfennyuh1qdhnw,2022-09-20T03:53:12Z,"alternative r&b,chill r&b,indie r&b",0.799,0.452,1,-7.641,0,0.0466,0.238,0.000133,0.0878,0.732,78.461,3
